date,price
2010/1/4,8150
2010/1/5,8150
2010/1/6,8150
2010/1/7,8100
2010/1/8,8000
2010/1/9,7980
2010/1/10,7980
2010/1/11,7950
2010/1/12,7880
2010/1/13,7750
2010/1/14,7650
2010/1/15,7650
2010/1/16,7580
2010/1/17,7550
2010/1/18,7500
2010/1/19,7430
2010/1/20,7300
2010/1/21,7300
2010/1/22,7350
2010/1/23,7350
2010/1/24,7350
2010/1/25,7350
2010/1/26,7350
2010/1/27,7350
2010/1/28,7250
2010/1/29,7300
2010/1/30,7280
2010/2/1,7250
2010/2/2,7200
2010/2/3,7200
2010/2/4,7200
2010/2/5,7250
2010/2/6,7250
2010/2/7,7250
2010/2/8,7250
2010/2/9,7250
2010/2/10,7350
2010/2/11,7400
2010/2/12,7380
2010/2/20,7430
2010/2/21,7450
2010/2/22,7450
2010/2/23,7450
2010/2/24,7450
2010/2/25,7450
2010/2/26,7450
2010/2/27,7450
2010/2/28,7450
2010/3/1,7420
2010/3/2,7420
2010/3/3,7450
2010/3/4,7450
2010/3/5,7430
2010/3/6,7450
2010/3/7,7450
2010/3/8,7480
2010/3/9,7480
2010/3/10,7500
2010/3/11,7500
2010/3/12,7500
2010/3/13,7460
2010/3/14,7450
2010/3/15,7450
2010/3/16,7400
2010/3/17,7420
2010/3/18,7420
2010/3/19,7400
2010/3/20,7400
2010/3/21,7400
2010/3/22,7400
2010/3/23,7400
2010/3/24,7350
2010/3/25,7380
2010/3/26,7350
2010/3/27,7350
2010/3/28,7350
2010/3/29,7350
2010/3/30,7350
2010/3/31,7500
2010/4/1,7500
2010/4/2,7500
2010/4/3,7580
2010/4/4,7600
2010/4/5,7600
2010/4/6,7650
2010/4/7,7700
2010/4/8,7680
2010/4/9,7680
2010/4/10,7630
2010/4/11,7630
2010/4/12,7650
2010/4/13,7650
2010/4/14,7650
2010/4/15,7600
2010/4/16,7600
2010/4/17,7600
2010/4/18,7600
2010/4/19,7580
2010/4/20,7550
2010/4/21,7580
2010/4/22,7650
2010/4/23,7720
2010/4/24,7770
2010/4/25,7770
2010/4/26,7780
2010/4/27,7750
2010/4/28,7750
2010/4/29,7750
2010/4/30,7700
2010/5/1,7720
2010/5/2,7720
2010/5/3,7720
2010/5/4,7700
2010/5/5,7700
2010/5/6,7700
2010/5/7,7650
2010/5/8,7600
2010/5/9,7600
2010/5/10,7600
2010/5/11,7600
2010/5/12,7600
2010/5/13,7580
2010/5/14,7580
2010/5/15,7550
2010/5/16,7550
2010/5/17,7550
2010/5/18,7480
2010/5/19,7480
2010/5/20,7480
2010/5/21,7500
2010/5/22,7450
2010/5/23,7450
2010/5/24,7450
2010/5/25,7450
2010/5/26,7430
2010/5/27,7450
2010/5/28,7450
2010/5/29,7430
2010/5/30,7430
2010/5/31,7430
2010/6/1,7400
2010/6/2,7350
2010/6/3,7350
2010/6/4,7350
2010/6/5,7300
2010/6/6,7300
2010/6/7,7250
2010/6/8,7250
2010/6/9,7250
2010/6/10,7220
2010/6/11,7220
2010/6/12,7250
2010/6/13,7250
2010/6/14,7280
2010/6/15,7280
2010/6/16,7280
2010/6/17,7320
2010/6/18,7330
2010/6/19,7350
2010/6/20,7350
2010/6/21,7400
2010/6/22,7400
2010/6/23,7400
2010/6/24,7380
2010/6/25,7350
2010/6/26,7350
2010/6/27,7350
2010/6/28,7350
2010/6/29,7300
2010/6/30,7250
2010/7/1,7180
2010/7/2,7180
2010/7/3,7150
2010/7/4,7150
2010/7/5,7150
2010/7/6,7130
2010/7/7,7100
2010/7/8,7150
2010/7/9,7150
2010/7/10,7200
2010/7/11,7200
2010/7/12,7200
2010/7/13,7200
2010/7/14,7250
2010/7/15,7250
2010/7/16,7350
2010/7/17,7350
2010/7/18,7350
2010/7/19,7380
2010/7/20,7400
2010/7/21,7400
2010/7/22,7400
2010/7/23,7450
2010/7/24,7450
2010/7/25,7450
2010/7/26,7450
2010/7/27,7450
2010/7/28,7450
2010/7/29,7550
2010/7/30,7600
2010/7/31,7650
2010/8/1,7650
2010/8/2,7750
2010/8/3,7800
2010/8/4,7900
2010/8/5,7900
2010/8/6,7900
2010/8/7,7900
2010/8/8,7900
2010/8/9,8000
2010/8/10,8050
2010/8/11,8000
2010/8/12,8000
2010/8/13,8050
2010/8/14,8200
2010/8/15,8200
2010/8/16,8200
2010/8/17,8100
2010/8/18,8100
2010/8/19,7900
2010/8/20,7950
2010/8/23,7850
2010/8/24,7850
2010/8/25,7780
2010/8/26,7720
2010/8/27,7800
2010/8/28,7900
2010/8/29,7900
2010/8/30,7950
2010/8/31,7930
2010/9/1,7930
2010/9/2,7930
2010/9/3,7900
2010/9/4,7950
2010/9/5,7950
2010/9/6,7980
2010/9/7,7980
2010/9/8,8050
2010/9/9,8000
2010/9/10,7930
2010/9/11,7900
2010/9/12,7900
2010/9/13,7900
2010/9/14,7950
2010/9/15,7950
2010/9/16,7950
2010/9/17,8000
2010/9/18,8020
2010/9/19,8050
2010/9/20,8250
2010/9/21,8250
2010/9/22,8250
2010/9/23,8250
2010/9/24,8250
2010/9/25,8500
2010/9/26,8600
2010/9/27,8600
2010/9/28,8580
2010/9/29,8550
2010/9/30,8550
2010/10/4,8400
2010/10/5,8400
2010/10/6,8450
2010/10/7,8450
2010/10/8,8550
2010/10/9,9000
2010/10/10,9150
2010/10/11,9200
2010/10/12,9200
2010/10/13,9150
2010/10/14,9150
2010/10/15,9150
2010/10/16,9150
2010/10/17,9150
2010/10/18,9050
2010/10/19,9100
2010/10/20,9050
2010/10/21,9350
2010/10/22,9350
2010/10/23,9350
2010/10/24,9350
2010/10/25,9450
2010/10/26,9450
2010/10/27,9450
2010/10/28,9450
2010/10/29,9400
2010/10/30,9400
2010/10/31,9400
2010/11/1,9400
2010/11/2,9430
2010/11/3,9450
2010/11/4,9480
2010/11/5,10100
2010/11/6,10100
2010/11/7,10100
2010/11/8,10280
2010/11/9,10280
2010/11/10,10450
2010/11/11,10400
2010/11/12,10300
2010/11/13,10000
2010/11/14,10000
